name,intensity,prev,dist,frag500,areacob500,bord500,frag1000,areacob1000,bord1000,frag2500,areacob2500,bord2500,frag5000,areacob5000,bord5000
65,0.7391,21.739,50.7800,2,0.9278,3.6124,6,2.1742,8.7554,34,14.9292,37.2258,115,75.9488,139.4744
92,0.0667,6.667,24.1000,1,0.0469,0.3061,27,2.7928,11.1433,128,22.0236,61.4716,290,121.1301,197.2111
182,0.8182,36.360,30.3200,2,7.6848,3.9185,3,28.3215,8.8779,28,166.2832,47.8793,156,545.9803,190.4762
186,1.3913,34.783,0.0000,1,7.7317,4.0410,1,31.0205,7.9595,5,173.4714,42.4301,12,609.0148,172.2306
194,1.4118,17.647,9.7900,1,4.4984,4.4083,3,15.0979,15.7965,36,123.6136,79.1661,178,368.8071,279.9896
201,0.6667,16.667,17.2000,15,3.8893,3.2450,21,18.9403,13.5923,70,128.7587,80.1457,225,414.9630,291.6839
205,4.0909,59.091,1.7300,1,2.5866,3.8573,1,9.2968,13.1025,16,40.1861,50.5732,61,201.5773,236.2125
206,1.0476,21.429,1.0500,1,0.2530,0.9796,1,4.9952,7.7758,6,48.3958,66.5534,69,262.0533,232.4165
218,2,40.000,7.8500,3,3.2614,7.2860,7,16.5037,19.3476,26,81.0189,74.0231,113,287.5539,268.4790
220,0.9167,16.667,32.0900,4,4.6390,7.0411,13,19.6057,16.8986,32,93.6239,85.1663,128,350.3634,305.6436
231,0.5714286,14.286,19.0500,1,5.6512,5.1430,6,19.4745,14.4495,52,105.0294,52.6549,197,488.4658,226.9061
243,1.4,30.000,9.2100,2,1.8181,8.8166,5,12.0052,25.5315,44,58.0300,74.5741,97,263.8902,280.6631
249,0.6470588,32.353,6.3600,8,4.7983,6.0002,12,10.0934,13.1637,44,81.4500,87.9827,165,313.7198,314.3378
264,0.4615385,7.692,29.0100,6,3.1958,7.5921,15,11.3773,20.7558,78,70.7756,99.5546,212,308.6497,383.7688
268,0.3076923,23.077,4.4800,1,7.7692,4.0410,11,29.8959,12.4290,77,160.4071,77.2068,274,571.5933,246.5598
275,0.6129032,19.355,1.0000,5,2.6241,7.1023,13,12.6706,23.9396,57,81.6656,112.1060,182,436.4431,353.6453
295,0.25,25.000,15.3700,17,7.7130,4.0410,36,30.8800,7.9595,75,188.7473,24.4294,242,760.5656,59.3287
303,2.4347826,21.739,7.4500,2,3.6175,4.7757,8,12.9424,12.3678,54,46.9338,60.1246,229,206.6099,249.6212
310,1.7692308,38.462,9.9400,1,4.9858,6.4288,1,21.1989,16.4700,33,82.0404,80.6968,168,350.3822,325.2973
312,2.1060606,23.529,19.1000,9,0.8528,4.2859,24,13.0080,19.8987,101,99.8280,94.8401,307,336.9056,344.5837
