name,intensity,prev,dist,frag,areacob,bord,radius
65,0.7391,21.739,50.7800,2,0.9278,3.6124,500
92,0.0667,6.667,24.1000,1,0.0469,0.3061,500
182,0.8182,36.360,30.3200,2,7.6848,3.9185,500
186,1.3913,34.783,0.0000,1,7.7317,4.0410,500
194,1.4118,17.647,9.7900,1,4.4984,4.4083,500
201,0.6667,16.667,17.2000,15,3.8893,3.2450,500
205,4.0909,59.091,1.7300,1,2.5866,3.8573,500
206,1.0476,21.429,1.0500,1,0.2530,0.9796,500
218,2,40.000,7.8500,3,3.2614,7.2860,500
220,0.9167,16.667,32.0900,4,4.6390,7.0411,500
231,0.5714286,14.286,19.0500,1,5.6512,5.1430,500
243,1.4,30.000,9.2100,2,1.8181,8.8166,500
249,0.6470588,32.353,6.3600,8,4.7983,6.0002,500
264,0.4615385,7.692,29.0100,6,3.1958,7.5921,500
268,0.3076923,23.077,4.4800,1,7.7692,4.0410,500
275,0.6129032,19.355,1.0000,5,2.6241,7.1023,500
295,0.25,25.000,15.3700,17,7.7130,4.0410,500
303,2.4347826,21.739,7.4500,2,3.6175,4.7757,500
310,1.7692308,38.462,9.9400,1,4.9858,6.4288,500
312,2.1060606,23.529,19.1000,9,0.8528,4.2859,500
65,0.7391,21.739,50.7800,6,2.1742,8.7554,1000
92,0.0667,6.667,24.1000,27,2.7928,11.1433,1000
182,0.8182,36.360,30.3200,3,28.3215,8.8779,1000
186,1.3913,34.783,0.0000,1,31.0205,7.9595,1000
194,1.4118,17.647,9.7900,3,15.0979,15.7965,1000
201,0.6667,16.667,17.2000,21,18.9403,13.5923,1000
205,4.0909,59.091,1.7300,1,9.2968,13.1025,1000
206,1.0476,21.429,1.0500,1,4.9952,7.7758,1000
218,2,40.000,7.8500,7,16.5037,19.3476,1000
220,0.9167,16.667,32.0900,13,19.6057,16.8986,1000
231,0.5714286,14.286,19.0500,6,19.4745,14.4495,1000
243,1.4,30.000,9.2100,5,12.0052,25.5315,1000
249,0.6470588,32.353,6.3600,12,10.0934,13.1637,1000
264,0.4615385,7.692,29.0100,15,11.3773,20.7558,1000
268,0.3076923,23.077,4.4800,11,29.8959,12.4290,1000
275,0.6129032,19.355,1.0000,13,12.6706,23.9396,1000
295,0.25,25.000,15.3700,36,30.8800,7.9595,1000
303,2.4347826,21.739,7.4500,8,12.9424,12.3678,1000
310,1.7692308,38.462,9.9400,1,21.1989,16.4700,1000
312,2.1060606,23.529,19.1000,24,13.0080,19.8987,1000
,0.7391,21.739,50.7800,34,14.9292,37.2258,2500
,0.0667,6.667,24.1000,128,22.0236,61.4716,2500
,0.8182,36.360,30.3200,28,166.2832,47.8793,2500
,1.3913,34.783,0.0000,5,173.4714,42.4301,2500
,1.4118,17.647,9.7900,36,123.6136,79.1661,2500
,0.6667,16.667,17.2000,70,128.7587,80.1457,2500
,4.0909,59.091,1.7300,16,40.1861,50.5732,2500
,1.0476,21.429,1.0500,6,48.3958,66.5534,2500
,2,40.000,7.8500,26,81.0189,74.0231,2500
,0.9167,16.667,32.0900,32,93.6239,85.1663,2500
,0.5714286,14.286,19.0500,52,105.0294,52.6549,2500
,1.4,30.000,9.2100,44,58.0300,74.5741,2500
,0.6470588,32.353,6.3600,44,81.4500,87.9827,2500
,0.4615385,7.692,29.0100,78,70.7756,99.5546,2500
,0.3076923,23.077,4.4800,77,160.4071,77.2068,2500
,0.6129032,19.355,1.0000,57,81.6656,112.1060,2500
,0.25,25.000,15.3700,75,188.7473,24.4294,2500
,2.4347826,21.739,7.4500,54,46.9338,60.1246,2500
,1.7692308,38.462,9.9400,33,82.0404,80.6968,2500
,2.1060606,23.529,19.1000,101,99.8280,94.8401,2500
,0.7391,21.739,50.7800,115,75.9488,139.4744,5000
,0.0667,6.667,24.1000,290,121.1301,197.2111,5000
,0.8182,36.360,30.3200,156,545.9803,190.4762,5000
,1.3913,34.783,0.0000,12,609.0148,172.2306,5000
,1.4118,17.647,9.7900,178,368.8071,279.9896,5000
,0.6667,16.667,17.2000,225,414.9630,291.6839,5000
,4.0909,59.091,1.7300,61,201.5773,236.2125,5000
,1.0476,21.429,1.0500,69,262.0533,232.4165,5000
,2,40.000,7.8500,113,287.5539,268.4790,5000
,0.9167,16.667,32.0900,128,350.3634,305.6436,5000
,0.5714286,14.286,19.0500,197,488.4658,226.9061,5000
,1.4,30.000,9.2100,97,263.8902,280.6631,5000
,0.6470588,32.353,6.3600,165,313.7198,314.3378,5000
,0.4615385,7.692,29.0100,212,308.6497,383.7688,5000
,0.3076923,23.077,4.4800,274,571.5933,246.5598,5000
,0.6129032,19.355,1.0000,182,436.4431,353.6453,5000
,0.25,25.000,15.3700,242,760.5656,59.3287,5000
,2.4347826,21.739,7.4500,229,206.6099,249.6212,5000
,1.7692308,38.462,9.9400,168,350.3822,325.2973,5000
,2.1060606,23.529,19.1000,307,336.9056,344.5837,5000
